robot,condition,n,ratio,ci_low,ci_high,p,median_num,median_den,significant
Op3,iterations=50,30,2.1256287988711975,0.9222636877425711,15.471957281693408,0.0804,4.310217209530823e-06,2.2122058283815567e-06,False
Op3,iterations=100,30,2.1334396104534177,0.9248827376335776,15.471957281693408,0.0777,4.310217209530823e-06,2.2073288520114926e-06,False
Op3,ls_iterations=20,30,0.5570905943995371,0.11332933723688896,1.989103818241097,0.4886,7.915398545011855e-05,0.00014025335212794991,False
Op3,cone=1,30,0.9116148576567857,0.38089134560489435,2.3157371233685278,0.8658,0.00017310097044497436,0.0001903591485030874,False
Op3,timestep=0.001,30,1.2588502837902324,0.2569731204512117,4.963529750076976,0.7269,3.8327993851624845e-05,3.315206614809216e-05,False
Op3,timestep=0.004,30,1.078482635518352,0.4900348278571258,2.602261094503451,0.8102,0.0001339143858275618,0.00012624789070441172,False
Op3,friction_scale=0.5,30,0.882922767064712,0.39436074156406714,1.9187563844430444,0.7722,0.00023668559525124731,0.00028125232382349825,False
Op3,friction_scale=2.0,30,0.7932802531887235,0.5075745881833817,1.3728514827625662,0.4276,5.678987791920649e-05,7.076314129482035e-05,False
Op3,solref_scale=0.5,30,0.33073138137560465,0.15039865650512585,0.8876383481838873,0.0284,0.0002230640898326857,0.0007108430033936618,True
Op3,solref_scale=2.0,30,3.850112719244744,1.6192333779978128,7.274103482642137,0.001,0.00036369211653409475,9.328698045699009e-05,True
Op3,armature_scale=0.5,30,0.7359741333502138,0.2974684942048465,1.8419878938735141,0.4959,0.00012287214577642847,0.00017934033701996613,False
Op3,armature_scale=2.0,30,0.8411380609981819,0.344051339701734,3.0352320527469736,0.7556,0.00014287429290890235,0.00018833707924567866,False
